"","Year","Month","co2","Temperature","Date"
"114",1983,11,341.745,0.49,1983-11-01
"115",1983,12,343.07,0.19,1983-12-01
"116",1984,1,344.166,-0.21,1984-01-01
"117",1984,2,344.855,0.02,1984-02-01
"118",1984,3,345.5425,0.37,1984-03-01
"119",1984,4,347.6,0.52,1984-04-01
"120",1984,5,347.565,0.42,1984-05-01
"121",1984,6,346.975,0.26,1984-06-01
"122",1984,7,345.452,0.06,1984-07-01
"123",1984,8,343.41,0.14,1984-08-01
"124",1984,9,341.398,0.07,1984-09-01
"125",1984,10,341.78,0.02,1984-10-01
"126",1984,11,343.1725,0.12,1984-11-01
"127",1984,12,344.8775,0.01,1984-12-01
"128",1985,1,345.32,0.16,1985-01-01
"129",1985,2,346.235,0.08,1985-02-01
"130",1985,3,347.854,0.3,1985-03-01
"131",1985,4,348.4575,0.1,1985-04-01
"132",1985,5,349.08,0.23,1985-05-01
"133",1985,6,348.162,0.06,1985-06-01
"134",1985,7,346.58,0.13,1985-07-01
"135",1985,8,344.7325,0.16,1985-08-01
"136",1985,9,343.152,0.2,1985-09-01
"137",1985,10,343.275,0.16,1985-10-01
"138",1985,11,344.555,0.1,1985-11-01
"139",1985,12,345.958,0.06,1985-12-01
"140",1986,1,346.56,0.33,1986-01-01
"141",1986,2,347.305,0.23,1986-02-01
"142",1986,3,348.064,0.15,1986-03-01
"143",1986,4,349.995,0.54,1986-04-01
"144",1986,5,350.375,0.18,1986-05-01
"145",1986,6,349.852,0.37,1986-06-01
"146",1986,7,348.005,0.37,1986-07-01
"147",1986,8,345.888,0.5,1986-08-01
"148",1986,9,345.17,0.35,1986-09-01
"149",1986,10,344.5675,0.23,1986-10-01
"150",1986,11,346.15,0.28,1986-11-01
"151",1986,12,347.2325,0.13,1986-12-01
"152",1987,1,348.59,0.4,1987-01-01
"153",1987,2,348.765,0.47,1987-02-01
"154",1987,3,349.998,0.24,1987-03-01
"155",1987,4,351.2925,0.26,1987-04-01
"156",1987,5,352.132,0.42,1987-05-01
"157",1987,6,351.255,0.72,1987-06-01
"158",1987,7,350.0975,0.84,1987-07-01
"159",1987,8,347.77,0.73,1987-08-01
"160",1987,9,346.335,0.8,1987-09-01
"161",1987,10,346.6925,0.53,1987-10-01
